Country_destino_ESP,Country_destino_ENG,Country_origen_ESP,Country_origen_ENG,Year,valor
Chile,Chile,Venezuela,Venezuela,2005,6070
Chile,Chile,Peru,Peru,2005,80085
Chile,Chile,Haiti,Haiti,2005,67
Chile,Chile,Colombia,Colombia,2005,9159
Chile,Chile,Bolivia,Bolivia,2005,17859
Chile,Chile,Otros,Otros,2005,126131
Colombia,Colombia,Venezuela,Venezuela,2005,37353
Colombia,Colombia,Estados Unidos,United States of America,2005,15039
Colombia,Colombia,Ecuador,Ecuador,2005,11337
Colombia,Colombia,España,Spain,2005,5245
Colombia,Colombia,Argentina,Argentina,2005,2540
Colombia,Colombia,Otros,Otros,2005,27047
Ecuador,Ecuador,Venezuela,Venezuela,2005,4415
Ecuador,Ecuador,Colombia,Colombia,2005,94258
Ecuador,Ecuador,Estados Unidos,United States of America,2005,13293
Ecuador,Ecuador,Peru,Peru,2005,6798
Ecuador,Ecuador,Chile,Chile,2005,5625
Ecuador,Ecuador,Otros,Otros,2005,30188
Paraguay,Paraguay,Brasil,Brazil,2005,79266
Paraguay,Paraguay,Argentina,Argentina,2005,61353
Paraguay,Paraguay,Uruguay,Uruguay,2005,3146
Paraguay,Paraguay,Corea del Sur,Republic of Korea,2005,2740
Paraguay,Paraguay,Canadá,Canada,2005,2453
Paraguay,Paraguay,Otros,Otros,2005,15218
Peru,Peru,Venezuela,Venezuela,2005,2794
Peru,Peru,Estados Unidos,United States of America,2005,8444
Peru,Peru,China,China,2005,3502
Peru,Peru,Bolivia,Bolivia,2005,4904
Peru,Peru,Argentina,Argentina,2005,9729
Peru,Peru,Otros,Otros,2005,47397
Uruguay,Uruguay,Argentina,Argentina,2005,25992
Uruguay,Uruguay,España,Spain,2005,18858
Uruguay,Uruguay,Venezuela,Venezuela,2005,610
Uruguay,Uruguay,Brasil,Brazil,2005,12923
Uruguay,Uruguay,Italia,Italy,2005,8155
Uruguay,Uruguay,Otros,Otros,2005,8914
Cuba,Cuba,España,Spain,2010,1908
Cuba,Cuba,Italia,Italy,2010,295
Cuba,Cuba,Rusia,Russia,2010,989
Cuba,Cuba,Venezuela,Venezuela,2010,228
Cuba,Cuba,Estados Unidos,United States of America,2010,349
Cuba,Cuba,Otros,Otros,2010,2740
Republica-Dominicana,Dominican Republic,Haiti,Haiti,2010,313363
Republica-Dominicana,Dominican Republic,Venezuela,Venezuela,2010,5155
Republica-Dominicana,Dominican Republic,Estados Unidos,United States of America,2010,24567
Republica-Dominicana,Dominican Republic,España,Spain,2010,6721
Republica-Dominicana,Dominican Republic,Puerto Rico,Puerto Rico,2010,5789
Republica-Dominicana,Dominican Republic,Otros,Otros,2010,31915
Costa Rica,Costa Rica,Nicaragua,Nicaragua,2010,288033
Costa Rica,Costa Rica,Venezuela,Venezuela,2010,1362
Costa Rica,Costa Rica,Colombia,Colombia,2010,20965
Costa Rica,Costa Rica,El Salvador,El Salvador,2010,13701
Costa Rica,Costa Rica,Estados Unidos,United States of America,2010,12492
Costa Rica,Costa Rica,Otros,Otros,2010,55660
El Salvador,El Salvador,Honduras,Honduras,2010,11198
El Salvador,El Salvador,Guatemala,Guatemala,2010,8521
El Salvador,El Salvador,Nicaragua,Nicaragua,2010,7502
El Salvador,El Salvador,Estados Unidos,United States of America,2010,5176
El Salvador,El Salvador,México,Mexico,2010,1644
El Salvador,El Salvador,Otros,Otros,2010,6161
Guatemala,Guatemala,El Salvador,El Salvador,2010,16691
Guatemala,Guatemala,México,Mexico,2010,15250
Guatemala,Guatemala,Estados Unidos,United States of America,2010,7514
Guatemala,Guatemala,Nicaragua,Nicaragua,2010,7443
Guatemala,Guatemala,Honduras,Honduras,2010,7292
Guatemala,Guatemala,Otros,Otros,2010,12112
Honduras,Honduras,El Salvador,El Salvador,2010,6303
Honduras,Honduras,Nicaragua,Nicaragua,2010,5530
Honduras,Honduras,Estados Unidos,United States of America,2010,4851
Honduras,Honduras,Guatemala,Guatemala,2010,3280
Honduras,Honduras,México,Mexico,2010,1116
Honduras,Honduras,Otros,Otros,2010,6073
México,Mexico,Estados Unidos,United States of America,2010,742050
México,Mexico,Venezuela,Venezuela,2010,10788
México,Mexico,Guatemala,Guatemala,2010,32894
México,Mexico,Honduras,Honduras,2010,9982
México,Mexico,España,Spain,2010,20731
México,Mexico,Otros,Otros,2010,150671
Nicaragua,Nicaragua,Honduras,Honduras,2010,11534
Nicaragua,Nicaragua,Costa Rica,Costa Rica,2010,9989
Nicaragua,Nicaragua,Estados Unidos,United States of America,2010,3298
Nicaragua,Nicaragua,El Salvador,El Salvador,2010,2267
Nicaragua,Nicaragua,Guatemala,Guatemala,2010,1634
Nicaragua,Nicaragua,Otros,Otros,2010,6814
Panamá,Panama,Venezuela,Venezuela,2010,8441
Panamá,Panama,Colombia,Colombia,2010,47190
Panamá,Panama,China,China,2010,15942
Panamá,Panama,Estados Unidos,United States of America,2010,11993
Panamá,Panama,Nicaragua,Nicaragua,2010,11032
Panamá,Panama,Otros,Otros,2010,62656
Argentina,Argentina,Paraguay,Paraguay,2010,588452
Argentina,Argentina,Bolivia,Bolivia,2010,363142
Argentina,Argentina,Chile,Chile,2010,184687
Argentina,Argentina,Peru,Peru,2010,169262
Argentina,Argentina,Venezuela,Venezuela,2010,1236
Argentina,Argentina,Otros,Otros,2010,460927
Bolivia,Bolivia,Argentina,Argentina,2010,36671
Bolivia,Bolivia,Brasil,Brazil,2010,22066
Bolivia,Bolivia,España,Spain,2010,10463
Bolivia,Bolivia,Peru,Peru,2010,9691
Bolivia,Bolivia,México,Mexico,2010,8179
Bolivia,Bolivia,Otros,Otros,2010,32792
Brasil,Brazil,Venezuela,Venezuela,2010,2845
Brasil,Brazil,Portugal,Portugal,2010,136792
Brasil,Brazil,Japón,Japan,2010,48639
Brasil,Brazil,Paraguay,Paraguay,2010,38916
Brasil,Brazil,Bolivia,Bolivia,2010,38484
Brasil,Brazil,Otros,Otros,2010,321352
Chile,Chile,Venezuela,Venezuela,2010,8095
Chile,Chile,Peru,Peru,2010,124672
Chile,Chile,Haiti,Haiti,2010,90
Chile,Chile,Colombia,Colombia,2010,14401
Chile,Chile,Bolivia,Bolivia,2010,25143
Chile,Chile,Otros,Otros,2010,151363
Colombia,Colombia,Venezuela,Venezuela,2010,45692
Colombia,Colombia,Estados Unidos,United States of America,2010,16977
Colombia,Colombia,Ecuador,Ecuador,2010,13707
Colombia,Colombia,España,Spain,2010,7935
Colombia,Colombia,Argentina,Argentina,2010,3386
Colombia,Colombia,Otros,Otros,2010,33258
Ecuador,Ecuador,Venezuela,Venezuela,2010,7032
Ecuador,Ecuador,Colombia,Colombia,2010,221534
Ecuador,Ecuador,Estados Unidos,United States of America,2010,21172
