Pais ESP,Pais ENG,Año,Grado,Asignatura,Nivel,valor
Chile,Chile,2019,3,Matemáticas,II,
Chile,Chile,2019,3,Matemáticas,III,
Chile,Chile,2019,3,Matemáticas,IV,
Chile,Chile,2019,6,Ciencias,I,
Chile,Chile,2019,6,Ciencias,II,
Chile,Chile,2019,6,Ciencias,III,
Chile,Chile,2019,6,Ciencias,IV,
Chile,Chile,2019,6,Lectura,I,
Chile,Chile,2019,6,Lectura,II,
Chile,Chile,2019,6,Lectura,III,
Chile,Chile,2019,6,Lectura,IV,
Chile,Chile,2019,6,Matemáticas,I,
Chile,Chile,2019,6,Matemáticas,II,
Chile,Chile,2019,6,Matemáticas,III,
Chile,Chile,2019,6,Matemáticas,IV,
Colombia,Colombia,2013,3,Lectura,I,32.2
Colombia,Colombia,2013,3,Lectura,II,23.1
Colombia,Colombia,2013,3,Lectura,III,31.7
Colombia,Colombia,2013,3,Lectura,IV,13.1
Colombia,Colombia,2013,3,Matemáticas,I,48
Colombia,Colombia,2013,3,Matemáticas,II,27.7
Colombia,Colombia,2013,3,Matemáticas,III,19.7
Colombia,Colombia,2013,3,Matemáticas,IV,4.6
Colombia,Colombia,2013,6,Ciencias,I,27.6
Colombia,Colombia,2013,6,Ciencias,II,42.6
Colombia,Colombia,2013,6,Ciencias,III,22
Colombia,Colombia,2013,6,Ciencias,IV,7.8
Colombia,Colombia,2013,6,Lectura,I,9.7
Colombia,Colombia,2013,6,Lectura,II,51.6
Colombia,Colombia,2013,6,Lectura,III,21
Colombia,Colombia,2013,6,Lectura,IV,17.7
Colombia,Colombia,2013,6,Matemáticas,I,42.2
Colombia,Colombia,2013,6,Matemáticas,II,42.4
Colombia,Colombia,2013,6,Matemáticas,III,12
Colombia,Colombia,2013,6,Matemáticas,IV,3.4
Colombia,Colombia,2019,3,Lectura,I,35.8
Colombia,Colombia,2019,3,Lectura,II,20.4
Colombia,Colombia,2019,3,Lectura,III,26.3
Colombia,Colombia,2019,3,Lectura,IV,17.4
Colombia,Colombia,2019,3,Matemáticas,I,43.6
Colombia,Colombia,2019,3,Matemáticas,II,28.6
Colombia,Colombia,2019,3,Matemáticas,III,21.8
Colombia,Colombia,2019,3,Matemáticas,IV,6
